"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Documents, rather than silently skipping, two scenario categories
    from the QA Lead checklist that don't meaningfully apply to this
    specific story:

    - Large dataset (1000+ records): login is a single indexed lookup by
      email (the same query path FINTRACK-13's uniqueness check already
      exercises against a populated table) -- there's no new query shape
      introduced by login/logout worth re-proving at scale here.
    - Accessibility (keyboard nav, ARIA labels): N/A -- FINTRACK-14 is a
      backend-only story this sprint; no login/logout UI exists yet.
      Applicable once the frontend login form ships.
    ","1","test_large_dataset_and_accessibility_not_applicable_documented","tests.integration","2026-09-19","passed","2026-09-19","","test_login_logout_api","",""
"","3","test_auth_bypass_token_signed_with_wrong_secret_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_follow_through_security","",""
"","1","test_new_sets_created_at_and_updated_at_to_now_and_equal","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_justification_domain","",""
"","0","test_sanitise_if_formula_leaves_normal_text_untouched","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"","1","test_apply_update_rejects_more_than_two_decimal_places","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_domain","",""
"Matches the BA's Gherkin scenario 1 exactly: $300 spent against a
    $500 budget shows 60% used. Also the exact case the Tech Lead's own
    smoke test caught unquantized (""60.0"" instead of ""60.00"") -- asserted
    here as a string to lock the fix in.","1","test_overview_computes_percent_used_for_a_budgeted_category","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_handlers","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-15-add-manual-transaction.feature: Attempt SQL injection in transaction description","867","test_attempt_sql_injection_in_transaction_description","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"","1","test_is_valid_amount_rejects_negative","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"Crafts a token with the same secret/algorithm the app uses but an
    exp already in the past -- proves expiry is actually enforced, not
    just signature validity.","4","test_expired_access_token_is_rejected","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"","0","test_is_valid_date_rejects_empty_string","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"","0","test_apply_auto_categorisation_skips_invalid_rows","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_domain","",""
"","0","test_delete_budget_raises_not_found_for_another_users_budget","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_handlers","",""
"","1","test_creates_a_new_subscription_when_pattern_first_detected","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_handlers","",""
"Matches Gherkin: 'Successfully register a new account'.","1","test_successful_registration","tests.unit","2026-09-19","passed","2026-09-19","","test_register_user","",""
"","601","test_two_irregular_amazon_charges_are_not_flagged","tests.integration","2026-09-19","passed","2026-09-19","","test_subscriptions_api","",""
"","1","test_new_rejects_more_than_two_decimal_places","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_domain","",""
"","283","test_large_dataset_of_1000_transactions_paginates_completely_without_duplicates_or_loss","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"","0","test_apply_auto_categorisation_handles_row_with_no_note","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_domain","",""
"AC3/AC4/AC5 end-to-end: stage -> bulk-edit an invalid row -> commit
    -> the committed transactions appear in the normal transaction list
    tagged entry_source=csv_import.","587","test_full_lifecycle_stage_edit_commit_and_verify_transaction_list","tests.integration","2026-09-19","passed","2026-09-19","","test_imports_api","",""
"","1","test_apply_update_changes_the_limit","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_domain","",""
"Revocation is server-side, so it holds regardless of which client
    presents the old token -- a thief on another machine is not a
    different case.","291","test_rotation_invalidates_the_old_token_even_for_a_different_client","tests.security","2026-09-19","passed","2026-09-19","","test_refresh_security","",""
"AC7: 'No bank credentials ever requested.' The stage endpoint only
    accepts a multipart file upload -- there is no username/password/
    account-number field in its request shape for a credential to even
    be placed into.","565","test_no_bank_credential_fields_accepted_by_stage_endpoint","tests.security","2026-09-19","passed","2026-09-19","","test_imports_security","",""
"","274","test_sql_injection_payload_never_reflected_in_response","tests.security","2026-09-19","passed","2026-09-19","","test_login_security","",""
"","592","test_bulk_import_of_200_transactions_shows_categorisation_summary","tests.integration","2026-09-19","passed","2026-09-19","","test_categorisation_rules_api","",""
"Boundary: exactly 7 days elapsed is NOT yet overdue -- the Gherkin
    scenario specifically uses ""8 days ago"" for the ignored case, so day 7
    itself must still read as within the window.","0","test_is_overdue_false_at_exactly_seven_days","tests.unit","2026-09-19","passed","2026-09-19","","test_follow_through_record_domain","",""
"","4","test_delete_transaction_without_auth_token_returns_401","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"Simulates a user hitting refresh twice in quick succession -- both
    calls must resolve to the same follow_through_record_id, never a
    second row for the same day.","590","test_concurrent_refresh_same_day_reuses_the_same_record_idempotently","tests.integration","2026-09-19","passed","2026-09-19","","test_follow_through_api","",""
"Matches the BA's Gherkin scenario 4 exactly.","1","test_new_rejects_sqli_shaped_merchant_pattern","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_domain","",""
"","5","test_auth_bypass_missing_token_rejected_on_stage","tests.security","2026-09-19","passed","2026-09-19","","test_imports_security","",""
"","563","test_transaction_from_unknown_merchant_is_flagged_uncategorised_not_guessed","tests.integration","2026-09-19","passed","2026-09-19","","test_categorisation_rules_api","",""
"","4","test_auth_bypass_missing_token_rejected_on_rate","tests.security","2026-09-19","passed","2026-09-19","","test_follow_through_security","",""
"","0","test_apply_correction_updates_category_in_place","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_domain","",""
"Auth-bypass-adjacent check for logout: calling it with no prior
    login (no cookie at all) must succeed identically to calling it after
    a real login, so the response can't be used to probe session state.
    ","3","test_logout_does_not_require_or_leak_whether_a_session_existed","tests.security","2026-09-19","passed","2026-09-19","","test_login_security","",""
"","0","test_user_at_80_pct_of_budget_gets_a_budget_risk_recommendation","tests.unit","2026-09-19","passed","2026-09-19","","test_weekly_recommendation_handler","",""
"AC4: a transaction exceeding every previously-justified amount for
    the category still fires normally -- the ceiling suppresses, it never
    blocks alerts outright.","1","test_large_transaction_still_fires_when_above_the_justified_ceiling","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"","1","test_dismiss_alert_raises_not_found_for_a_nonexistent_id","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"","626","test_idor_a_forged_alert_id_belonging_to_no_one_returns_404_not_500_on_justify","tests.security","2026-09-19","passed","2026-09-19","","test_alerts_security","",""
"","0","test_current_month_bounds_mid_month","tests.unit","2026-09-19","passed","2026-09-19","","test_date_ranges","",""
"","606","test_user_removes_an_existing_budget","tests.integration","2026-09-19","passed","2026-09-19","","test_budgets_api","",""
"","1","test_justifying_the_same_alert_twice_at_the_same_amount_is_a_harmless_no_op","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"","0","test_not_subscription_marked_row_is_never_resurfaced_either","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_handlers","",""
"","0","test_rate_excludes_records_outside_the_rolling_window","tests.unit","2026-09-19","passed","2026-09-19","","test_follow_through_handlers","",""
"","0","test_committable_rows_includes_ok_and_flagged_excludes_invalid","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"","4","test_dashboard_requires_auth","tests.integration","2026-09-19","passed","2026-09-19","","test_insights_api","",""
"","582","test_category_with_no_budget_set_shows_spend_without_a_false_over_state","tests.integration","2026-09-19","passed","2026-09-19","","test_budgets_api","",""
"","0","test_new_accepts_limit_just_below_the_ceiling","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_domain","",""
"","4","test_session_edge_case_expired_token_rejected_on_history","tests.integration","2026-09-19","passed","2026-09-19","","test_follow_through_api","",""
"","1","test_money_parse_accepts_whole_number_amount","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_domain","",""
"Matches Gherkin scenario 2: a corrupted file must raise a clear
    error, not silently import a partial/garbage result.","2","test_parse_csv_statement_rejects_undecodable_bytes","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"Weekly charges (7-day gaps) are not a monthly subscription pattern
    under this v1 rules engine -- explicitly out of scope per the story's
    'Out of scope' note (only monthly cadence is detected).","1","test_interval_much_shorter_than_target_is_not_flagged","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_domain","",""
"","0","test_money_parse_rejects_more_than_two_decimal_places","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_domain","",""
"","6","test_stage_import_without_auth_token_returns_401","tests.integration","2026-09-19","passed","2026-09-19","","test_imports_api","",""
"","620","test_a_transaction_within_normal_range_does_not_trigger_a_large_transaction_alert","tests.integration","2026-09-19","passed","2026-09-19","","test_alerts_api","",""
"","12","test_all_budget_endpoints_require_auth","tests.integration","2026-09-19","passed","2026-09-19","","test_budgets_api","",""
"Defensive path: alert.transaction_id points at a transaction that
    no longer resolves for this user (data-corruption edge case, not a
    normal user flow) -- must fail closed with a clear error, never a
    raw AttributeError from a None transaction.","0","test_justify_raises_transaction_not_found_if_the_triggering_transaction_is_missing","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"Gap-fill: routine week-to-week variance (below the 1.5x bar) must
    not be flagged -- avoids a false-positive spike.","1","test_spend_below_spike_multiplier_does_not_trigger","tests.unit","2026-09-19","passed","2026-09-19","","test_weekly_recommendation_handler","",""
"","0","test_money_parse_accepts_exactly_two_decimal_places","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_domain","",""
"","3","test_auth_bypass_missing_token_rejected_on_create","tests.security","2026-09-19","passed","2026-09-19","","test_transactions_security","",""
"","0","test_20_pct_follow_through_rate_is_deprioritised","tests.unit","2026-09-19","passed","2026-09-19","","test_recommendation_prioritisation","",""
"","0","test_current_month_total_excludes_prior_month_spend","tests.unit","2026-09-19","passed","2026-09-19","","test_spending_insights_handler","",""
"","3","test_auth_bypass_empty_bearer_token_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_alerts_security","",""
"","1","test_create_transaction_handler_persists_and_returns_the_transaction","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_handlers","",""
"Matches Gherkin: 'Attempt SQL injection in email field during registration'.

    The Email value object's format regex rejects this outright before any
    query is built -- and even if it somehow reached the repository, the
    SQLAlchemy layer only ever uses parameterised queries (see
    sqlalchemy_user_repository.py), so no string-concatenation path exists
    for this input to reach the database at all.
    ","1","test_sql_injection_in_email_is_rejected_not_executed","tests.security","2026-09-19","passed","2026-09-19","","test_register_security","",""
"Session edge case beyond the Gherkin: if a client mistakenly (or
    maliciously) sends an access token in place of the refresh cookie,
    logout must not treat it as a valid session to revoke -- access
    tokens were never meant to be revocable via this path (see ADR-009).
    ","0","test_logout_rejects_an_access_token_used_as_refresh_token","tests.unit","2026-09-19","passed","2026-09-19","","test_login_logout_user","",""
"","1","test_raise_ceiling_if_higher_updates_updated_at_only_when_it_actually_changes","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_justification_domain","",""
"","0","test_80_pct_follow_through_rate_is_not_deprioritised","tests.unit","2026-09-19","passed","2026-09-19","","test_recommendation_prioritisation","",""
"Concurrent modification scenario the Gherkin doesn't cover.

    Exercises the exact race the repository docstring calls out: two
    requests for the same email arriving close enough together that both
    pass get_by_email() before either has committed. The DB's unique
    constraint (via IntegrityError -> EmailAlreadyExistsError in
    sqlalchemy_user_repository.add()) must ensure exactly one wins.
    ","11","test_concurrent_registration_same_email_only_one_succeeds","tests.integration","2026-09-19","passed","2026-09-19","","test_register_api","",""
"","0","test_create_categorisation_rule_upserts_rather_than_duplicates_for_the_same_pattern","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_handlers","",""
"","586","test_delete_transaction_twice_returns_404_the_second_time","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"","564","test_sql_injection_payload_never_reflected_in_response","tests.security","2026-09-19","passed","2026-09-19","","test_transactions_security","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-16-statement-import.feature: Attempt CSV formula injection via a transaction description","592","test_attempt_csv_formula_injection_via_a_transaction_description","tests.integration","2026-09-19","passed","2026-09-19","","test_imports_api","",""
"Unauthenticated, and each call does a Redis write plus a JWT sign --
    worth bounding. 5 per 15 minutes, matching /login.","22","test_refresh_is_rate_limited_on_the_same_budget_as_login","tests.security","2026-09-19","passed","2026-09-19","","test_refresh_security","",""
"The other half of the same regression: an actual Apple sign-in
    attempt against an unconfigured environment must fail cleanly as
    OAuthProviderUnavailableError (-> 503 at the API layer, see auth.py),
    not raise an unhandled ValueError out of the dependency wiring.","0","test_apple_login_without_config_raises_provider_unavailable_not_crash","tests.unit","2026-09-19","passed","2026-09-19","","test_oauth_login_user","",""
"","3","test_auth_bypass_empty_bearer_token_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_budgets_security","",""
"","574","test_discard_staged_import_removes_it","tests.integration","2026-09-19","passed","2026-09-19","","test_imports_api","",""
"AC2: below MIN_OCCURRENCES (only 2 seen so far) -- no row created.","0","test_returns_none_and_creates_nothing_when_pattern_not_yet_present","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_handlers","",""
"","1","test_stage_import_handler_persists_and_returns_staged_import","tests.unit","2026-09-19","passed","2026-09-19","","test_import_command_handlers","",""
"","0","test_dismiss_sets_dismissed_at","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_domain","",""
"","0","test_apply_update_does_not_change_id_or_category","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_domain","",""
"IDOR prevention: owner_b cannot delete owner_a's transaction.","0","test_delete_transaction_handler_raises_not_found_for_another_users_transaction","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_handlers","",""
"","1","test_commit_import_handler_raises_not_found_for_unknown_import","tests.unit","2026-09-19","passed","2026-09-19","","test_import_command_handlers","",""
"","1","test_list_history_reconciles_an_overdue_pending_record_to_ignored","tests.unit","2026-09-19","passed","2026-09-19","","test_follow_through_handlers","",""
"","569","test_creating_a_second_budget_for_the_same_category_returns_409","tests.integration","2026-09-19","passed","2026-09-19","","test_budgets_api","",""
"","0","test_list_alerts_returns_only_active_alerts_by_default","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"Matches the BA's Gherkin scenario 3 exactly: $250 spent against a
    $200 budget is over budget, and the overage is visible (125%), not
    silently capped at 100%.","0","test_overview_flags_over_budget_with_uncapped_percentage","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_handlers","",""
"","4","test_auth_bypass_empty_id_token_rejected_by_schema","tests.security","2026-09-19","passed","2026-09-19","","test_oauth_security","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-16-statement-import.feature: Successfully import a CSV statement","655","test_successfully_import_a_csv_statement","tests.integration","2026-09-19","passed","2026-09-19","","test_imports_api","",""
"","4","test_auth_bypass_missing_token_rejected_on_create","tests.security","2026-09-19","passed","2026-09-19","","test_categorisation_rules_security","",""
"","1","test_update_staged_rows_handler_ignores_an_unknown_row_index","tests.unit","2026-09-19","passed","2026-09-19","","test_import_command_handlers","",""
"","3","test_auth_bypass_malformed_authorization_header_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_recommendations_security","",""
"","4","test_auth_bypass_malformed_authorization_header_rejected","tests.security","2026-09-19","passed","2026-09-19","","test_categorisation_rules_security","",""
"Edge case for _current_month_bounds: ""today"" in December must not
    leak January-of-next-year spend, and a January transaction from the
    same day last year must not leak in either.","1","test_overview_handles_the_december_to_january_year_rollover","tests.unit","2026-09-19","passed","2026-09-19","","test_budget_handlers","",""
"","1","test_new_detected_sets_status_detected","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_domain","",""
"","647","test_confirm_endpoint_sets_status_confirmed","tests.integration","2026-09-19","passed","2026-09-19","","test_subscriptions_api","",""
"Absent-means-zero convention, matching
    sum_by_category_for_user_in_range -- callers wanting a gap-free series
    (GetSpendingInsightsHandler) fill zeros in themselves.","7","test_sum_by_month_only_returns_months_with_at_least_one_transaction","tests.integration","2026-09-19","passed","2026-09-19","","test_transaction_repository_month_aggregation","",""
"","659","test_well_followed_budget_category_keeps_native_priority_via_real_api","tests.integration","2026-09-19","passed","2026-09-19","","test_recommendation_prioritisation_api","",""
"","619","test_pagination_walks_to_the_last_page_with_a_null_cursor","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"29% (2.9/10, rounds to below 3 done out of 10 isn't representable
    with whole occurrences, so use a 20-occurrence window truncated to
    the service's own ROLLING_WINDOW cap to land exactly on 29%).","1","test_just_under_30_pct_is_deprioritised","tests.unit","2026-09-19","passed","2026-09-19","","test_recommendation_prioritisation","",""
"IDOR at the handler layer -- the attacker gets the same
    AlertNotFoundError as a truly nonexistent id, never a distinct
    'forbidden' signal.","1","test_dismiss_alert_raises_not_found_for_another_users_alert","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"FINTRACK-17 rewrite (was test_sql_injection_in_csv_category_is_skipped_at_commit_not_committed,
    which asserted a commit-time skip -- no skip happens now, because the
    category column this payload lives in is never read as data at all).
    Both rows commit; the auto-categorisation engine assigns
    ""Uncategorised"" to the second row (no rule matches ""Normal purchase""),
    so the injection payload is discarded during staging, well before
    Transaction.new() would even see it.","582","test_sql_injection_in_csv_category_column_never_becomes_transaction_data","tests.security","2026-09-19","passed","2026-09-19","","test_imports_security","",""
"","596","test_spending_exceeds_the_category_budget","tests.integration","2026-09-19","passed","2026-09-19","","test_budgets_api","",""
"Defence-in-depth: a rule's own category shouldn't be able to carry
    a spreadsheet-formula-injection payload through to the review screen
    unflagged, even though CategorisationRule.new() doesn't itself check
    for this (only for SQLi-shaped input).","0","test_apply_auto_categorisation_flags_a_formula_injection_payload_in_rule_category","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_domain","",""
"","1","test_threshold_crossing_does_not_fire_below_90_percent","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_handlers","",""
"If the payload had reached a query unparameterised, a DROP TABLE
    would take out every rule, not just fail to create one. A real,
    unrelated user's rule surviving right after -- and still doing its job
    -- is the strongest evidence the table is intact.","1143","test_sql_injection_does_not_disturb_other_users_data","tests.security","2026-09-19","passed","2026-09-19","","test_categorisation_rules_security","",""
"AC2: fewer than MIN_OCCURRENCES is an automatic None regardless of
    amount/interval shape -- matches the Gherkin's own two-transaction
    negative example.","0","test_two_irregular_charges_are_not_flagged_below_min_occurrences","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_domain","",""
"","0","test_confirm_raises_not_found_for_nonexistent_id","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_handlers","",""
"","1184","test_subscriptions_are_scoped_to_the_authenticated_user_only","tests.integration","2026-09-19","passed","2026-09-19","","test_subscriptions_api","",""
"","0","test_invalid_token_raises_generic_oauth_login_error","tests.unit","2026-09-19","passed","2026-09-19","","test_oauth_login_user","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-38-frontend-scaffold.feature: A TypeScript type error fails the build","2488","test_a_typescript_type_error_fails_the_build","tests.integration","2026-09-19","passed","2026-09-19","","test_frontend_build","",""
"","1","test_create_transaction_handler_propagates_suspicious_input_error","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_handlers","",""
"","0","test_mark_not_subscription_raises_not_found_for_another_users_subscription","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_handlers","",""
"Registration creates a brand-new resource scoped to the caller --
    there is no existing per-user resource for another party to access
    out of scope. IDOR becomes directly testable starting with
    FINTRACK-14 (Login) and any endpoint that reads/writes a specific
    user's data. Documented as N/A here rather than fabricating a test
    against an endpoint that has nothing to be an IDOR victim of.
    ","0","test_idor_not_applicable","tests.security","2026-09-19","passed","2026-09-19","","test_register_api_security","",""
"Matches Gherkin scenario 1 exactly: 50 well-formed transactions.","3","test_parse_csv_statement_50_well_formed_rows_all_ok","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"Matches Gherkin: amount ""-15.00"" -> 'Amount must be a positive number'.","2","test_money_parse_rejects_negative_amount","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_domain","",""
"","1","test_normalise_merchant_treats_differently_padded_same_merchant_as_equal","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_domain","",""
"Idempotent get-or-create: a user refreshing the page twice in one
    day must not get two rows, and must not have their existing action
    state clobbered.","0","test_ensure_returns_the_existing_record_on_a_second_call_same_period","tests.unit","2026-09-19","passed","2026-09-19","","test_follow_through_handlers","",""
"","0","test_trailing_months_bounds_one_month_is_just_the_current_month","tests.unit","2026-09-19","passed","2026-09-19","","test_date_ranges","",""
"/home/runner/work/finance-tracker-app/finance-tracker-app/tests/features/FINTRACK-13-user-registration.feature: Attempt to register with a weak password","31","test_attempt_to_register_with_a_weak_password","tests.integration","2026-09-19","passed","2026-09-19","","test_register_api","",""
"","0","test_new_large_transaction_sets_all_fields","tests.unit","2026-09-19","passed","2026-09-19","","test_alert_domain","",""
"","1","test_update_transaction_handler_does_not_create_a_rule_when_category_stays_uncategorised","tests.unit","2026-09-19","passed","2026-09-19","","test_transaction_handlers","",""
"This story only exposes stage/edit/commit/discard by id -- no
    GET /api/v1/imports (list) endpoint, so there is nothing for an
    attacker to enumerate even with a valid token. Recorded here so a
    future list endpoint inherits user_id-scoping from the start rather
    than reinventing this expectation.","555","test_idor_no_list_staged_imports_endpoint_exists_documented","tests.security","2026-09-19","passed","2026-09-19","","test_imports_security","",""
"","0","test_mark_not_subscription_sets_status","tests.unit","2026-09-19","passed","2026-09-19","","test_subscription_handlers","",""
"","589","test_max_upload_size_is_enforced","tests.integration","2026-09-19","passed","2026-09-19","","test_imports_api","",""
"","582","test_update_transaction_rejects_invalid_amount","tests.integration","2026-09-19","passed","2026-09-19","","test_transactions_api","",""
"","1","test_is_valid_amount_rejects_non_numeric_returns_none_not_raise","tests.unit","2026-09-19","passed","2026-09-19","","test_import_batch_domain","",""
"","0","test_new_rejects_overlong_merchant_pattern","tests.unit","2026-09-19","passed","2026-09-19","","test_categorisation_rule_domain","",""
"Regression test for the bug found during this QA pass:
    AmountExceedsMaximumError must be caught per-row (skipped), not
    propagate as an unhandled exception and abort the whole commit.
    is_valid_amount() doesn't enforce MAX_TRANSACTION_AMOUNT, so a row at
    the exact rejected boundary (999999999.99, per ADR-010) stages as OK
    and only fails at commit time.","0","test_commit_import_handler_skips_a_row_whose_amount_exceeds_the_maximum","tests.unit","2026-09-19","passed","2026-09-19","","test_import_command_handlers","",""
